2025-04-05 22:39:31.405943 | BTCUSDT | LONG | Score: 80.23 | Valid Until: 2025-04-06 01:39:31.405366
2025-04-05 22:39:31.543292 | ETHUSDT | LONG | Score: 77.0 | Valid Until: 2025-04-06 00:39:31.543215
2025-04-05 22:39:32.122825 | BNBUSDT | LONG | Score: 74.67 | Valid Until: 2025-04-06 00:39:32.121753
2025-04-05 22:39:32.427568 | SOLUSDT | LONG | Score: 82.72 | Valid Until: 2025-04-06 01:39:32.426738
2025-04-05 22:39:32.731979 | APTUSDT | LONG | Score: 77.93 | Valid Until: 2025-04-06 00:39:32.731639
2025-04-05 22:44:07.166837 | BTCUSDT | LONG | Score: 77.95 | Valid Until: 2025-04-06 00:44:07.166512
2025-04-05 22:44:07.387755 | ETHUSDT | LONG | Score: 75.96 | Valid Until: 2025-04-06 00:44:07.387608
2025-04-05 22:44:07.697614 | SOLUSDT | LONG | Score: 81.85 | Valid Until: 2025-04-06 01:44:07.697308
2025-04-05 22:44:07.910866 | BNBUSDT | LONG | Score: 73.41 | Valid Until: 2025-04-06 00:44:07.910193
2025-04-05 22:44:08.500085 | APTUSDT | LONG | Score: 76.16 | Valid Until: 2025-04-06 00:44:08.499716
2025-04-05 23:12:01.409895 | BTCUSDT | LONG | Score: 80.08 | Valid Until: 2025-04-06 02:12:01.409537
2025-04-05 23:12:01.707656 | ETHUSDT | LONG | Score: 76.27 | Valid Until: 2025-04-06 01:12:01.707404
2025-04-05 23:12:02.021523 | SOLUSDT | LONG | Score: 82.51 | Valid Until: 2025-04-06 02:12:02.010335
2025-04-05 23:12:02.266199 | BNBUSDT | LONG | Score: 73.16 | Valid Until: 2025-04-06 01:12:02.265878
2025-04-05 23:12:02.859481 | APTUSDT | LONG | Score: 78.46 | Valid Until: 2025-04-06 01:12:02.859073
2025-04-05 23:18:35.209215 | BTCUSDT | LONG | Score: 80.93 | Valid Until: 2025-04-06 02:18:35.209099
2025-04-05 23:18:35.446179 | ETHUSDT | LONG | Score: 77.85 | Valid Until: 2025-04-06 01:18:35.445773
2025-04-05 23:18:35.720870 | SOLUSDT | LONG | Score: 82.97 | Valid Until: 2025-04-06 02:18:35.720523
2025-04-05 23:18:36.057893 | BNBUSDT | LONG | Score: 74.54 | Valid Until: 2025-04-06 01:18:36.056639
2025-04-05 23:18:36.639585 | APTUSDT | LONG | Score: 80.68 | Valid Until: 2025-04-06 02:18:36.639247
2025-04-05 23:20:32.764762 | BTCUSDT | LONG | Score: 80.42 | Valid Until: 2025-04-06 02:20:32.764425
2025-04-05 23:20:33.110812 | ETHUSDT | LONG | Score: 77.64 | Valid Until: 2025-04-06 01:20:33.110682
2025-04-05 23:20:33.422931 | SOLUSDT | LONG | Score: 83.57 | Valid Until: 2025-04-06 02:20:33.422806
2025-04-05 23:20:33.715116 | BNBUSDT | LONG | Score: 73.88 | Valid Until: 2025-04-06 01:20:33.715001
2025-04-05 23:20:34.269050 | APTUSDT | LONG | Score: 81.15 | Valid Until: 2025-04-06 02:20:34.268692
2025-04-05 23:23:27.252974 | BTCUSDT | LONG | Score: 80.7 | Valid Until: 2025-04-06 02:23:27.252858
2025-04-05 23:23:27.529574 | ETHUSDT | LONG | Score: 78.48 | Valid Until: 2025-04-06 01:23:27.529175
2025-04-05 23:23:27.837430 | SOLUSDT | LONG | Score: 83.57 | Valid Until: 2025-04-06 02:23:27.836405
2025-04-05 23:23:28.099839 | BNBUSDT | LONG | Score: 74.1 | Valid Until: 2025-04-06 01:23:28.099498
2025-04-05 23:23:28.694298 | APTUSDT | LONG | Score: 80.12 | Valid Until: 2025-04-06 02:23:28.693856
2025-04-05 23:47:02.787442 | BTCUSDT | LONG | Score: 80.3 | Valid Until: 2025-04-06 02:47:02.787051
2025-04-05 23:47:02.935103 | ETHUSDT | LONG | Score: 79.38 | Valid Until: 2025-04-06 01:47:02.934821
2025-04-05 23:47:03.073104 | SOLUSDT | LONG | Score: 81.88 | Valid Until: 2025-04-06 02:47:03.072780
2025-04-05 23:47:03.204719 | BNBUSDT | LONG | Score: 72.94 | Valid Until: 2025-04-06 01:47:03.204532
2025-04-05 23:47:03.462454 | APTUSDT | LONG | Score: 81.16 | Valid Until: 2025-04-06 02:47:03.462278
2025-04-05 23:52:04.240216 | BTCUSDT | LONG | Score: 78.36 | Valid Until: 2025-04-06 01:52:04.240037
2025-04-05 23:52:04.534287 | ETHUSDT | LONG | Score: 76.03 | Valid Until: 2025-04-06 01:52:04.534150
2025-04-05 23:52:04.818184 | SOLUSDT | LONG | Score: 80.78 | Valid Until: 2025-04-06 02:52:04.818052
2025-04-05 23:52:05.082696 | BNBUSDT | LONG | Score: 71.18 | Valid Until: 2025-04-06 01:52:05.071693
2025-04-05 23:52:05.659483 | APTUSDT | LONG | Score: 79.56 | Valid Until: 2025-04-06 01:52:05.659184
2025-04-05 23:54:54.810188 | BTCUSDT | LONG | Score: 81.36 | Valid Until: 2025-04-06 02:54:54.808804
2025-04-05 23:54:55.782664 | ETHUSDT | LONG | Score: 79.24 | Valid Until: 2025-04-06 01:54:55.780921
2025-04-05 23:54:57.813171 | SOLUSDT | LONG | Score: 83.92 | Valid Until: 2025-04-06 02:54:57.811686
2025-04-05 23:54:58.681423 | BNBUSDT | LONG | Score: 72.35 | Valid Until: 2025-04-06 01:54:58.680185
2025-04-05 23:55:00.871983 | MATICUSDT | LONG | Score: 105.0 | Valid Until: 2025-04-06 04:55:00.870796
2025-04-05 23:55:04.228795 | APTUSDT | LONG | Score: 81.92 | Valid Until: 2025-04-06 02:55:04.228480
2025-04-05 23:59:51.529504 | BTCUSDT | LONG | Score: 82.27 | Valid Until: 2025-04-06 02:59:51.529106
2025-04-05 23:59:53.421617 | ETHUSDT | LONG | Score: 79.92 | Valid Until: 2025-04-06 01:59:53.421219
2025-04-06 00:00:00.578824 | SOLUSDT | LONG | Score: 84.27 | Valid Until: 2025-04-06 03:00:00.578542
2025-04-06 00:00:02.630443 | BNBUSDT | LONG | Score: 73.75 | Valid Until: 2025-04-06 02:00:02.630205
2025-04-06 00:05:11.488584 | BTCUSDT | LONG | Score: 81.11 | Valid Until: 2025-04-06 03:05:11.488191
2025-04-06 00:05:13.413030 | ETHUSDT | LONG | Score: 76.56 | Valid Until: 2025-04-06 02:05:13.412666
2025-04-06 00:05:19.676503 | SOLUSDT | LONG | Score: 82.01 | Valid Until: 2025-04-06 03:05:19.676206
2025-04-06 00:05:21.724223 | BNBUSDT | LONG | Score: 71.53 | Valid Until: 2025-04-06 02:05:21.723895
2025-04-06 00:05:23.581440 | APTUSDT | LONG | Score: 78.77 | Valid Until: 2025-04-06 02:05:23.581146
2025-04-06 00:18:24.336443 | BTCUSDT | LONG | Score: 81.44 | Valid Until: 2025-04-06 03:18:24.336051
2025-04-06 00:18:26.237234 | ETHUSDT | LONG | Score: 77.43 | Valid Until: 2025-04-06 02:18:26.237039
2025-04-06 00:18:37.083432 | SOLUSDT | LONG | Score: 80.92 | Valid Until: 2025-04-06 03:18:37.083174
2025-04-06 00:18:39.003914 | BNBUSDT | LONG | Score: 75.52 | Valid Until: 2025-04-06 02:18:39.003641
2025-04-06 00:18:40.914271 | APTUSDT | LONG | Score: 79.41 | Valid Until: 2025-04-06 02:18:40.914062
